,name,year,selling_price,km_driven,fuel,mileage(km/ltr/kg),engine,max_power,seats
4192,Jaguar XF 2.0,2017,3200000,45000,Diesel,19.33,1999.0,177.0,5.0
4193,Tata Safari Storme,2015,503000,110000,Diesel,14.1,2179.0,147.94,7.0
4194,Volvo XC40 D4,2019,3800000,20000,Diesel,18.0,1969.0,190.0,5.0
4195,Toyota Camry 2.5,2016,2000000,68089,Petrol,19.16,2494.0,157.7,5.0
4196,Maruti Wagon R,2013,225000,58343,Petrol,21.79,998.0,67.05,5.0
4197,Maruti Baleno Alpha,2018,740000,38817,Diesel,27.39,1248.0,74.0,5.0
4198,Honda Jazz VX,2016,550000,56494,Petrol,18.2,1199.0,88.7,5.0
4199,Toyota Innova 2.5,2013,750000,79328,Diesel,12.99,2494.0,100.6,7.0
4200,Maruti Swift AMT,2019,650000,5621,Petrol,22.0,1197.0,81.8,5.0
4201,Toyota Etios VX,2017,625000,25538,Petrol,16.78,1496.0,88.73,5.0
4202,Maruti Swift AMT,2018,600000,69779,Petrol,22.0,1197.0,81.8,5.0
4203,Hyundai Grand i10,2017,450000,56290,Diesel,24.0,1186.0,73.97,5.0
4204,BMW X4 M,2019,5400000,7500,Diesel,16.78,1995.0,190.0,5.0
4205,BMW X4 M,2019,5500000,8500,Diesel,16.78,1995.0,190.0,5.0
4206,Honda Amaze V,2019,779000,7032,Petrol,19.0,1199.0,88.76,5.0
4207,Skoda Rapid 1.6,2016,645000,11000,Petrol,14.3,1598.0,103.5,5.0
4208,Volvo V40 D3,2018,2475000,2000,Diesel,16.8,1984.0,150.0,5.0
4209,Maruti Wagon R,2008,80000,100000,Petrol,17.3,1061.0,64.0,5.0
4210,Hyundai i10 Era,2008,120000,93331,Petrol,19.81,1086.0,68.05,5.0
4211,Mahindra Scorpio M2DI,2012,370000,120000,Diesel,13.5,2179.0,115.0,5.0
4212,Nissan Terrano XL,2015,750000,70000,Diesel,19.01,1461.0,108.5,5.0
4213,Mahindra Bolero Power,2015,484999,100000,Diesel,15.96,2523.0,63.0,9.0
4214,Hyundai Accent CRDi,2006,120000,90000,Diesel,13.1,1493.0,82.0,5.0
4215,Honda City i,2017,860000,28000,Petrol,17.8,1497.0,117.3,5.0
4216,Maruti Swift Dzire,2018,650000,50000,Diesel,28.4,1248.0,74.02,5.0
4217,Maruti Ertiga ZDI,2014,650000,90000,Diesel,20.77,1248.0,88.8,7.0
4218,Hyundai Verna 1.4,2016,710000,40000,Diesel,24.8,1396.0,88.7,5.0
4219,Ford Figo 1.5D,2017,430000,113000,Diesel,25.83,1498.0,99.0,5.0
4220,Maruti Swift Vdi,2011,305000,188000,Diesel,17.8,1248.0,75.0,5.0
4221,Ford Figo Diesel,2011,220000,100000,Diesel,20.0,1399.0,68.0,5.0
4222,Tata Sumo MKII,2010,150000,225000,Diesel,14.0,1948.0,90.0,9.0
4223,Mahindra TUV 300,2017,660000,67000,Diesel,18.49,1493.0,100.0,7.0
4224,Chevrolet Beat Diesel,2011,140000,70000,Diesel,25.44,936.0,57.6,5.0
4225,Toyota Corolla Altis,2015,1100000,50000,Petrol,14.28,1798.0,138.03,5.0
4226,Jaguar XF 2.2,2013,2450000,60000,Diesel,16.36,2179.0,187.7,5.0
4227,Volkswagen Ameo 1.5,2017,625000,34000,Diesel,22.0,1498.0,108.495,5.0
4228,Honda City 1.5,2004,198000,110000,Petrol,12.8,1493.0,100.0,5.0
4229,Maruti Wagon R,2005,130000,140000,Petrol,18.9,998.0,67.1,5.0
4230,Honda City Corporate,2012,540000,100000,Petrol,16.8,1497.0,116.3,5.0
4231,Hyundai Grand i10,2017,550000,10000,Petrol,18.9,1197.0,81.86,5.0
4232,Maruti Celerio ZXI,2018,475000,30000,Petrol,21.63,998.0,67.04,5.0
4233,Toyota Fortuner 2.8,2016,3100000,90000,Diesel,15.04,2755.0,174.5,7.0
4234,Maruti Ritz VDi,2010,217000,120000,Diesel,21.1,1248.0,73.9,5.0
4235,Maruti Swift Dzire,2019,750000,6500,Petrol,21.21,1197.0,81.8,5.0
4236,Maruti Gypsy King,2010,350000,80000,Petrol,11.96,1298.0,80.0,8.0
4237,Mahindra Scorpio VLS,2008,400000,100000,Diesel,12.05,2179.0,120.0,7.0
4238,Toyota Etios VD,2015,570000,120000,Diesel,23.59,1364.0,67.05,5.0
4239,Hyundai EON Era,2012,180000,120000,Petrol,21.1,814.0,55.2,5.0
4240,Opel Astra 1.6,1998,68000,110000,Petrol,13.1,1598.0,77.0,5.0
4241,Skoda Octavia Classic,2006,280000,150000,Diesel,18.7,1896.0,66.0,5.0
4242,Tata Indigo LS,2005,90000,120000,Diesel,16.1,1405.0,70.0,5.0
4243,Mercedes-Benz M-Class ML,2015,2600000,100000,Diesel,15.26,2143.0,203.2,5.0
4244,Tata Sumo Gold,2018,700000,63000,Diesel,15.3,2956.0,83.83,7.0
4245,Mercedes-Benz GLA Class,2016,1850000,40000,Diesel,17.9,2143.0,136.0,5.0
4246,Ford Ecosport 1.5,2015,685000,109000,Diesel,22.7,1498.0,89.84,5.0
4247,Maruti Swift VDI,2015,565000,114000,Diesel,25.2,1248.0,73.94,5.0
4248,Skoda Octavia Elegance,2017,1600000,33000,Petrol,14.7,1798.0,177.5,5.0
4249,Hyundai Grand i10,2014,395000,160000,Diesel,24.0,1120.0,70.0,5.0
4250,Hyundai i20 Sportz,2013,425000,101000,Diesel,21.9,1396.0,88.76,5.0
4251,Volkswagen Vento 1.5,2019,1350000,5400,Diesel,22.27,1498.0,108.6,5.0
4252,Hyundai Tucson 2.0,2016,1950000,45000,Diesel,16.38,1995.0,183.0,5.0
4253,Renault KWID AMT,2018,535000,31000,Petrol,24.04,999.0,67.0,5.0
4254,Renault KWID 1.0,2018,500000,31000,Petrol,23.01,999.0,67.0,5.0
4255,Maruti Wagon R,2016,434999,55000,Petrol,20.52,1197.0,81.8,5.0
4256,Tata Nano XTA,2018,250000,55000,Petrol,21.9,624.0,37.48,4.0
4257,Hyundai Verna 1.6,2014,700000,117000,Diesel,22.32,1582.0,126.32,5.0
4258,BMW 3 Series,2010,1100000,102000,Diesel,19.62,1995.0,187.74,5.0
4259,Volkswagen Passat 2.0,2012,900000,108000,Diesel,17.42,1968.0,175.0,5.0
4260,Maruti Wagon R,2015,425000,75000,Petrol,20.52,1197.0,81.8,5.0
4261,Mercedes-Benz E-Class E,2011,1600000,74000,Diesel,10.0,2148.0,170.0,5.0
4262,Ford Figo Titanium,2013,325000,158000,Diesel,24.4,1499.0,98.96,5.0
4263,Isuzu MUX 2WD,2019,2700000,10000,Diesel,13.8,2999.0,174.57,7.0
4264,Ford EcoSport 1.5,2018,950000,40000,Diesel,23.0,1498.0,98.96,5.0
4265,Tata Nexon 1.5,2019,1140000,10000,Diesel,21.5,1497.0,108.5,5.0
4266,Tata Hexa XE,2017,980000,53000,Diesel,17.6,2179.0,147.94,7.0
4267,Jeep Compass 2.0,2017,1920000,20000,Diesel,16.3,1956.0,170.0,5.0
4268,Volkswagen Polo 1.0,2020,808000,5000,Petrol,18.24,999.0,108.6,5.0
4269,Maruti Swift Dzire,2014,550000,30000,Petrol,19.1,1197.0,85.8,5.0
4270,Maruti Alto LXi,2010,215000,64000,Petrol,19.7,796.0,46.3,5.0
4271,Ford Figo 1.2P,2016,512000,10500,Petrol,18.16,1196.0,86.8,5.0
4272,Maruti Alto LXi,2011,215000,50000,Petrol,19.7,796.0,46.3,5.0
4273,Skoda Rapid 1.6,2012,500000,60000,Diesel,20.5,1598.0,103.5,5.0
4274,Skoda Rapid 1.5,2015,700000,35000,Diesel,21.14,1498.0,103.52,5.0
4275,Tata Safari DICOR,2012,525000,135000,Diesel,13.93,2179.0,138.03,7.0
4276,Mahindra Scorpio LX,2011,550000,70000,Diesel,12.05,2179.0,120.0,9.0
4277,Maruti Vitara Brezza,2016,750000,80000,Diesel,24.3,1248.0,88.5,5.0
4278,Maruti Celerio X,2017,395000,25000,Petrol,21.63,998.0,67.0,5.0
4279,Hyundai i20 2015-2017,2017,675000,5000,Petrol,18.6,1197.0,81.83,5.0
4280,Hyundai Santro Xing,2008,140000,80000,Petrol,17.92,1086.0,62.1,5.0
4281,Mahindra Scorpio VLX,2011,430000,120000,Diesel,12.05,2179.0,120.0,8.0
4282,Jaguar XE 2016-2019,2017,2711000,9000,Diesel,13.6,1999.0,177.0,5.0
4283,Lexus ES 300h,2019,5150000,20000,Petrol,22.37,2487.0,214.56,5.0
4284,Jaguar XF 2.0,2017,3200000,45000,Diesel,19.33,1999.0,177.0,5.0
4285,Tata Safari Storme,2015,503000,110000,Diesel,14.1,2179.0,147.94,7.0
4286,Volvo XC40 D4,2019,3800000,20000,Diesel,18.0,1969.0,190.0,5.0
4287,Toyota Camry 2.5,2016,2000000,68089,Petrol,19.16,2494.0,157.7,5.0
4288,Maruti Wagon R,2013,225000,58343,Petrol,21.79,998.0,67.05,5.0
4289,Maruti Baleno Alpha,2018,740000,38817,Diesel,27.39,1248.0,74.0,5.0
4290,Honda Jazz VX,2016,550000,56494,Petrol,18.2,1199.0,88.7,5.0
4291,Toyota Innova 2.5,2013,750000,79328,Diesel,12.99,2494.0,100.6,7.0
4292,Maruti Swift AMT,2019,650000,5621,Petrol,22.0,1197.0,81.8,5.0
4293,Toyota Etios VX,2017,625000,25538,Petrol,16.78,1496.0,88.73,5.0
4294,Maruti Swift AMT,2018,600000,69779,Petrol,22.0,1197.0,81.8,5.0
4295,Hyundai Grand i10,2017,450000,56290,Diesel,24.0,1186.0,73.97,5.0
4296,BMW X4 M,2019,5400000,7500,Diesel,16.78,1995.0,190.0,5.0
4297,BMW X4 M,2019,5500000,8500,Diesel,16.78,1995.0,190.0,5.0
4298,Honda Amaze V,2019,779000,7032,Petrol,19.0,1199.0,88.76,5.0
4299,Skoda Rapid 1.6,2016,645000,11000,Petrol,14.3,1598.0,103.5,5.0
4300,Volvo V40 D3,2018,2475000,2000,Diesel,16.8,1984.0,150.0,5.0
4301,Maruti Wagon R,2014,300000,10000,Petrol,20.51,998.0,67.04,5.0
4302,Chevrolet Sail Hatchback,2013,355000,68000,Diesel,22.1,1248.0,76.9,5.0
4303,Maruti Alto 800,2015,180000,35000,Petrol,22.74,796.0,47.3,5.0
4304,Tata Indigo eCS,2013,280000,70000,Diesel,25.0,1396.0,69.0,5.0
4305,Tata Manza ELAN,2011,250000,70000,Diesel,19.0,1248.0,90.0,5.0
4306,Tata Indica GLS,2007,125000,50000,Petrol,15.3,1193.0,65.3,5.0
4307,Maruti S-Cross 2017-2020,2018,810000,29700,Diesel,25.1,1248.0,88.5,5.0
4308,Hyundai i20 1.4,2018,671000,20000,Petrol,18.6,1368.0,98.63,5.0
4309,Maruti Alto 800,2018,295000,20000,Petrol,24.7,796.0,47.3,5.0
4310,Maruti Ertiga SHVS,2017,850000,40000,Diesel,24.52,1248.0,88.5,7.0
4311,Maruti Swift ZDi,2013,409999,90000,Diesel,22.9,1248.0,74.0,5.0
4312,Maruti Ertiga VXI,2015,600000,90000,Petrol,16.02,1373.0,93.7,7.0
4313,Mahindra Bolero 2011-2019,2015,600000,80000,Diesel,15.96,2523.0,62.1,7.0
4314,Maruti Wagon R,2012,220000,60000,Petrol,18.9,998.0,67.1,5.0
4315,Maruti Swift Dzire,2013,550000,56000,Diesel,23.4,1248.0,74.0,5.0
4316,Mahindra Scorpio EX,2014,650000,50000,Diesel,14.0,2523.0,75.0,8.0
4317,Mahindra Scorpio 2009-2014,2014,655000,50000,Diesel,14.0,2523.0,75.0,9.0
4318,Tata Sumo GX,2006,130000,74000,Diesel,13.7,1948.0,68.0,7.0
4319,Renault Duster 110PS,2014,400000,123000,Diesel,19.01,1461.0,108.45,5.0
4320,Maruti Alto LXi,2009,155000,54000,Petrol,19.7,796.0,46.3,5.0
4321,Tata Indigo CS,2013,250000,50000,Petrol,15.64,1193.0,64.1,5.0
4322,Hyundai Grand i10,2014,400000,80000,Petrol,18.9,1197.0,82.0,5.0
4323,Datsun GO A,2019,500000,10000,Petrol,19.02,1198.0,67.05,5.0
4324,Hyundai Santro Sportz,2018,565000,10000,Petrol,20.3,1086.0,68.0,5.0
4325,Ford EcoSport 1.5,2018,900000,40000,Diesel,23.0,1498.0,98.96,5.0
4326,Mahindra Bolero Power,2017,650000,120000,Diesel,16.5,1493.0,70.0,7.0
4327,Mahindra Bolero 2011-2019,2013,600000,45000,Diesel,15.96,2523.0,62.1,7.0
4328,Maruti Swift Dzire,2018,800000,35000,Diesel,28.4,1248.0,74.02,5.0
4329,Hyundai i20 Sportz,2015,575000,60000,Diesel,22.54,1396.0,88.73,5.0
4330,Ford Figo 1.5P,2016,550000,40000,Petrol,17.01,1499.0,110.4,5.0
4331,Maruti SX4 Vxi,2011,190000,80000,Petrol,15.5,1586.0,103.3,5.0
4332,Ford EcoSport 1.5,2017,750000,37000,Diesel,23.0,1498.0,98.96,5.0
4333,Maruti Baleno Delta,2018,625000,22000,Petrol,21.4,1197.0,83.1,5.0
4334,Hyundai i20 1.4,2018,799000,60000,Diesel,22.54,1396.0,88.73,5.0
4335,Maruti Wagon R,2013,300000,57000,Petrol,20.51,998.0,67.04,5.0
4336,Maruti Ciaz 1.4,2017,850000,27000,Petrol,20.73,1373.0,91.1,5.0
4337,Chevrolet Spark 1.0,2012,130000,70000,Petrol,18.0,995.0,62.0,5.0
4338,Maruti Alto K10,2011,229999,40000,Petrol,20.92,998.0,67.1,5.0
4339,Maruti Celerio ZXI,2015,400000,60000,Petrol,23.1,998.0,67.04,5.0
4340,Mahindra Thar CRDe,2018,900000,35000,Diesel,16.55,2498.0,105.0,6.0
4341,Mahindra Scorpio 1.99,2015,800000,70000,Diesel,15.4,1997.0,120.0,7.0
4342,Hyundai EON Era,2015,250999,43000,Petrol,21.1,814.0,55.2,5.0
4343,Tata Manza Aqua,2011,250000,110000,Petrol,15.0,1368.0,90.0,5.0
4344,Fiat Punto 1.2,2009,100000,100000,Petrol,15.7,1172.0,67.0,5.0
4345,Maruti Swift VXI,2016,450000,64000,Petrol,20.4,1197.0,81.8,5.0
4346,Renault Duster 85PS,2017,575000,96000,Diesel,19.87,1461.0,83.8,5.0
4347,Renault Duster 85PS,2013,400000,96000,Diesel,20.46,1461.0,83.8,5.0
4348,Maruti Celerio X,2019,480000,7600,Petrol,21.63,998.0,67.0,5.0
4349,Maruti Celerio X,2019,490000,7000,Petrol,21.63,998.0,67.0,5.0
4350,Tata Indigo LX,2007,150000,120000,Diesel,17.0,1405.0,70.0,5.0
4351,Tata Bolt Quadrajet,2017,600000,50000,Diesel,22.95,1248.0,74.0,5.0
4352,Hyundai Xcent 1.1,2015,500000,50000,Diesel,24.4,1120.0,71.0,5.0
4353,Tata Zest Quadrajet,2015,425000,80000,Diesel,23.0,1248.0,88.7,5.0
4354,Hyundai Accent DLS,2003,108000,200000,Diesel,13.1,1493.0,82.0,5.0
4355,Toyota Innova 2.5,2015,1030000,190000,Diesel,12.99,2494.0,100.6,7.0
4356,Maruti Wagon R,2015,360000,34000,Petrol,20.51,998.0,67.04,5.0
4357,Volkswagen Polo Petrol,2012,290000,80000,Petrol,16.47,1198.0,73.9,5.0
4358,Maruti Swift VDI,2011,400000,72000,Diesel,22.9,1248.0,74.0,5.0
4359,Maruti Esteem DI,2003,70000,20000,Diesel,15.9,1527.0,57.0,5.0
4360,Tata Sumo CX,2012,320000,70000,Diesel,15.3,2956.0,83.8,7.0
4361,Ford EcoSport 1.5,2019,975000,30000,Diesel,23.0,1498.0,98.96,5.0
4362,Honda City i-VTEC,2019,1227000,5000,Petrol,18.0,1497.0,117.6,5.0
4363,Hyundai Verna 1.6,2014,755000,29340,Diesel,22.32,1582.0,126.32,5.0
4364,Ford Figo Diesel,2011,215000,120000,Diesel,20.0,1399.0,68.0,5.0
4365,Toyota Innova 2.5,2011,735000,200000,Diesel,12.8,2494.0,102.0,7.0
4366,Hyundai i10 Era,2007,190000,70000,Petrol,19.81,1086.0,68.05,5.0
4367,Toyota Innova 2.5,2014,1365000,80800,Diesel,12.99,2494.0,100.6,8.0
4368,Honda Jazz 1.2,2018,675000,24265,Petrol,18.7,1199.0,88.7,5.0
4369,Maruti Swift Dzire,2014,438999,81000,Diesel,23.4,1248.0,74.0,5.0
4370,Renault Lodgy Stepway,2015,550000,240000,Diesel,19.98,1461.0,108.5,7.0
4371,Maruti Swift Dzire,2013,409999,35000,Petrol,19.1,1197.0,85.8,5.0
4372,Renault KWID RXT,2019,350000,15000,Petrol,25.17,799.0,53.3,5.0
4373,Chevrolet Beat Diesel,2012,135000,49000,Diesel,25.44,936.0,57.6,5.0
4374,Toyota Innova Crysta,2016,1490000,56900,Diesel,13.68,2393.0,147.8,8.0
4375,Maruti Swift VDI,2014,520000,70000,Diesel,25.2,1248.0,74.0,5.0
4376,Maruti Swift Dzire,2010,315000,180000,Diesel,19.3,1248.0,73.9,5.0
4377,Maruti A-Star Lxi,2010,235000,50000,Petrol,19.0,998.0,66.1,5.0
4378,Hyundai Accent GLE,2005,80500,50000,Petrol,13.2,1495.0,94.0,5.0
4379,Maruti Ritz VDi,2013,375000,88200,Diesel,23.2,1248.0,73.94,5.0
4380,Maruti Swift VXi,2006,189000,93000,Petrol,16.1,1197.0,85.0,5.0
4381,Honda Amaze E,2017,550000,120000,Diesel,25.8,1498.0,98.6,5.0
4382,Ford Fiesta EXi,2011,260000,110000,Diesel,17.8,1399.0,68.0,5.0
4383,Maruti Swift Dzire,2016,650000,50000,Diesel,26.59,1248.0,74.0,5.0
4384,Maruti Swift Dzire,2013,480000,80000,Diesel,23.4,1248.0,74.0,5.0
4385,Hyundai i20 Asta,2016,700000,40000,Diesel,22.54,1396.0,88.73,5.0
4386,Maruti Ertiga VDI,2015,650000,110000,Diesel,20.77,1248.0,88.76,7.0
4387,Hyundai Creta 1.6,2015,1300000,48000,Diesel,19.67,1582.0,126.2,5.0
4388,Volkswagen Jetta 2.0L,2016,1350000,97000,Diesel,16.96,1968.0,138.03,5.0
4389,Volkswagen Vento 1.5,2016,1000000,60000,Diesel,22.15,1498.0,108.6,5.0
4390,Mercedes-Benz M-Class ML,2011,1700000,110000,Diesel,0.0,2987.0,165.0,5.0
4391,Toyota Yaris V,2018,1080000,12800,Petrol,17.8,1496.0,105.5,5.0
4392,Hyundai EON D,2012,170000,40000,Petrol,21.1,814.0,55.2,5.0
4393,Maruti Swift DDiS,2017,610000,49000,Diesel,28.4,1248.0,74.0,5.0
4394,Maruti Ritz VXi,2014,350000,25000,Petrol,18.5,1197.0,85.8,5.0
4395,Maruti Alto 800,2016,260000,65000,Petrol,22.74,796.0,47.3,5.0
4396,Fiat Linea 1.3,2015,700000,20000,Diesel,20.4,1248.0,91.7,5.0
4397,Volkswagen Polo 2015-2019,2018,678000,17000,Petrol,18.78,999.0,75.0,5.0
4398,Maruti SX4 S,2015,800000,15000,Diesel,23.65,1248.0,88.5,5.0
4399,Toyota Etios GD,2014,400000,120000,Diesel,23.59,1364.0,67.04,5.0
4400,Hyundai i20 Magna,2010,300000,49000,Petrol,18.5,1197.0,80.0,5.0
4401,Hyundai i20 2015-2017,2016,520000,29000,Petrol,18.6,1197.0,81.83,5.0
4402,Nissan Terrano XV,2017,850000,55000,Diesel,19.61,1461.0,108.5,5.0
4403,Maruti Alto K10,2015,300000,40000,Petrol,23.95,998.0,67.05,5.0
4404,Honda City 1.5,2010,350000,120000,Petrol,17.0,1497.0,118.0,5.0
4405,Maruti Vitara Brezza,2019,892000,10000,Diesel,24.3,1248.0,88.5,5.0
4406,Fiat Grande Punto,2012,285000,70000,Diesel,20.3,1248.0,92.0,5.0
4407,Hyundai i10 Magna,2012,300000,60000,LPG,19.2,1086.0,68.05,5.0
4408,Maruti Ciaz VDI,2016,620000,90000,Diesel,28.09,1248.0,88.5,5.0
4409,Maruti Vitara Brezza,2017,750000,90000,Diesel,24.3,1248.0,88.5,5.0
4410,Maruti Alto 800,2016,270000,35000,Petrol,22.74,796.0,47.3,5.0
4411,Maruti Ertiga ZDI,2014,560000,90000,Diesel,20.77,1248.0,88.8,7.0
4412,Hyundai Santro Xing,2012,300000,40000,Petrol,17.92,1086.0,62.1,5.0
4413,Hyundai Santro Xing,2012,300000,40000,Petrol,17.92,1086.0,62.1,5.0
4414,Hyundai Grand i10,2018,570000,20000,Petrol,18.9,1197.0,81.86,5.0
4415,Tata Indigo CS,2011,220000,80000,Diesel,23.03,1396.0,69.0,5.0
4416,Maruti SX4 Vxi,2012,260000,99000,Petrol,15.5,1586.0,103.3,5.0
4417,Maruti Swift AMT,2019,600000,7500,Petrol,21.21,1197.0,81.8,5.0
4418,Tata Nano XE,2015,80000,60000,Petrol,23.9,624.0,37.48,4.0
4419,Hyundai EON Magna,2016,300000,40800,Petrol,21.1,814.0,55.2,5.0
4420,Tata Zest Revotron,2015,300000,70000,Petrol,17.57,1193.0,88.7,5.0
4421,Mahindra KUV 100,2016,400000,100000,Petrol,18.15,1198.0,82.0,5.0
4422,Maruti Swift VXI,2016,550000,8588,Petrol,22.0,1197.0,81.8,5.0
4423,Honda City i-DTEC,2019,1200000,40000,Diesel,25.6,1498.0,97.9,5.0
4424,Ford Figo 1.5D,2015,500000,60000,Diesel,25.83,1498.0,99.0,5.0
4425,Maruti Esteem Vxi,2005,93000,80000,Petrol,15.9,1298.0,85.0,5.0
4426,Honda City i,2014,500000,110000,Diesel,26.0,1498.0,98.6,5.0
4427,Toyota Platinum Etios,2018,670000,150000,Diesel,23.59,1364.0,67.05,5.0
4428,Toyota Innova 2.5,2012,750000,120000,Diesel,12.8,2494.0,102.0,7.0
4429,Maruti Alto K10,2017,370000,30000,Petrol,23.95,998.0,67.05,5.0
4430,Maruti 800 Std,2012,100000,70000,Petrol,16.1,796.0,37.0,4.0
4431,Hyundai i10 Sportz,2016,425000,50000,Petrol,19.81,1086.0,68.05,5.0
4432,Toyota Innova 2.5,2006,370000,305000,Diesel,12.8,2494.0,102.0,8.0
4433,Tata New Safari,2009,229999,212000,Diesel,11.57,2179.0,138.1,7.0
4434,Maruti Ertiga SHVS,2016,850000,35000,Diesel,24.52,1248.0,88.5,7.0
4435,Mahindra Verito 1.5,2018,750000,22000,Diesel,21.03,1461.0,65.0,5.0
4436,Tata Winger Deluxe,2010,235000,50000,Diesel,10.71,1948.0,90.0,14.0
4437,Honda WR-V i-DTEC,2017,700000,70000,Diesel,25.5,1498.0,98.6,5.0
4438,Hyundai Grand i10,2016,480000,56000,Diesel,24.0,1120.0,70.0,5.0
4439,Tata Zest Quadrajet,2016,475000,50000,Diesel,22.95,1248.0,74.0,5.0
4440,Skoda Rapid 1.5,2015,610000,120000,Diesel,21.14,1498.0,103.52,5.0
4441,Toyota Innova 2.5,2011,650000,120000,Diesel,12.8,2494.0,102.0,8.0
4442,Honda WR-V i-DTEC,2017,800000,70000,Diesel,25.5,1498.0,98.6,5.0
4443,Tata New Safari,2015,520000,120000,Diesel,11.57,2179.0,138.1,7.0
4444,Tata Indica V2,2014,160000,90000,Diesel,25.0,1396.0,69.0,5.0
4445,Maruti S-Cross 2017-2020,2018,1000000,70000,Diesel,25.1,1248.0,88.5,5.0
4446,Maruti Ertiga VDI,2015,700000,120000,Diesel,20.77,1248.0,88.76,7.0
4447,Honda Amaze S,2017,590000,70000,Diesel,25.8,1498.0,98.6,5.0
4448,Maruti Wagon R,2002,140000,80000,Petrol,18.9,998.0,67.1,5.0
4449,Mahindra TUV 300,2017,725000,100000,Diesel,18.49,1493.0,100.0,7.0
4450,Toyota Innova Crysta,2017,1680000,157000,Diesel,13.68,2393.0,147.8,7.0
4451,Maruti Swift Dzire,2015,550000,50000,Diesel,26.59,1248.0,74.0,5.0
4452,Maruti Ritz VDi,2012,240000,90000,Diesel,23.2,1248.0,73.94,5.0
4453,Chevrolet Captiva 2.2,2013,667000,65000,Diesel,14.6,2231.0,184.0,7.0
4454,Honda Jazz 1.5,2017,670000,50000,Diesel,27.3,1498.0,98.6,5.0
4455,Maruti Swift Dzire,2015,550000,110000,Diesel,26.59,1248.0,74.0,5.0
4456,Maruti Celerio ZXI,2015,400000,30000,Petrol,23.1,998.0,67.04,5.0
4457,Hyundai Verna 1.6,2014,545000,80000,Diesel,22.32,1582.0,126.32,5.0
4458,Maruti Ertiga LXI,2015,599000,70000,Petrol,16.02,1373.0,93.7,7.0
4459,Hyundai Creta 1.4,2016,725000,100000,Diesel,21.38,1396.0,88.7,5.0
4460,Honda City i,2015,525000,120000,Petrol,17.4,1497.0,117.3,5.0
4461,Maruti Ritz VDi,2011,204999,85000,Diesel,21.1,1248.0,73.9,5.0
4462,Skoda Fabia Scout,2012,190000,110000,Diesel,21.0,1199.0,75.0,5.0
4463,Hyundai Grand i10,2015,310000,60000,Diesel,24.0,1120.0,70.0,5.0
4464,Hyundai Grand i10,2016,380000,90000,Diesel,24.0,1120.0,70.0,5.0
4465,Maruti Alto K10,2012,204000,110000,Petrol,20.92,998.0,67.1,5.0
4466,Hyundai EON 1.0,2018,350000,25000,Petrol,20.3,998.0,68.05,5.0
4467,Volkswagen Vento Diesel,2013,350000,100000,Diesel,20.54,1598.0,103.6,5.0
4468,Ford Figo Diesel,2012,175000,120000,Diesel,20.0,1399.0,68.0,5.0
4469,Volkswagen Vento Diesel,2011,340000,90000,Diesel,20.54,1598.0,103.6,5.0
4470,Honda City i-VTEC,2017,950000,35000,Petrol,17.4,1497.0,117.6,5.0
4471,Honda City i,2017,894999,35000,Petrol,17.8,1497.0,117.3,5.0
4472,Tata Sumo Gold,2014,350000,101200,Diesel,15.3,2956.0,83.83,7.0
4473,Tata Indigo GLX,2005,100000,90000,Petrol,12.8,1396.0,85.0,5.0
4474,Maruti Swift Dzire,2016,550000,76000,Diesel,26.59,1248.0,74.0,5.0
4475,Tata Indigo LX,2004,100000,60000,Diesel,16.1,1405.0,70.0,5.0
4476,Mahindra XUV500 W6,2016,800000,90000,Diesel,16.0,2179.0,140.0,7.0
4477,Mahindra Bolero 2011-2019,2013,525000,80000,Diesel,15.96,2523.0,62.1,7.0
4478,Tata New Safari,2008,500000,179150,Diesel,11.57,2179.0,138.1,7.0
4479,Maruti 800 Std,2003,42000,62000,Petrol,16.1,796.0,37.0,4.0
4480,Maruti Swift Dzire,2009,190000,160000,Petrol,17.5,1197.0,85.8,5.0
4481,Maruti Swift Dzire,2019,694000,35000,Diesel,28.4,1248.0,74.02,5.0
4482,Mahindra XUV500 AT,2016,861999,120000,Diesel,16.0,2179.0,140.0,7.0
4483,Honda Amaze SX,2017,650000,50000,Diesel,25.8,1498.0,98.6,5.0
4484,Maruti Swift Dzire,2011,310000,70000,Diesel,19.3,1248.0,73.9,5.0
4485,Maruti Swift VDI,2013,360000,97000,Diesel,22.9,1248.0,74.0,5.0
4486,Maruti Swift Dzire,2011,240000,90000,Diesel,19.3,1248.0,73.9,5.0
4487,Mahindra XUV500 W8,2012,500000,84487,Diesel,15.1,2179.0,140.0,7.0
4488,Toyota Innova 2.5,2010,475000,100000,Diesel,12.8,2494.0,102.0,7.0
4489,Maruti Alto LX,2007,100000,60000,Petrol,19.7,796.0,46.3,5.0
4490,Maruti SX4 Zxi,2009,200000,110000,Petrol,15.0,1586.0,104.68,5.0
4491,Toyota Innova 2.5,2006,430000,264000,Diesel,12.8,2494.0,102.0,8.0
4492,Mahindra Xylo E4,2010,245000,146000,Diesel,14.0,2498.0,112.0,7.0
4493,Maruti Swift Dzire,2014,450000,70000,Diesel,23.4,1248.0,74.0,5.0
4494,Maruti Vitara Brezza,2017,800000,51146,Diesel,24.3,1248.0,88.5,5.0
4495,Maruti Ritz LXI,2011,215000,40000,Petrol,21.1,1197.0,85.8,5.0
4496,Maruti Vitara Brezza,2017,760000,50000,Diesel,24.3,1248.0,88.5,5.0
